name,full_name,private,fork,stargazers_count,forks_count,description,html_url
TogetherWeOpenSource,nikitakoselev/TogetherWeOpenSource,False,False,15,2,"OpenSource for the cause of empowering people, especially those from underprivileged and underrerpresented groups",https://github.com/nikitakoselev/TogetherWeOpenSource
tonnop-assessment-crudapi,nikitakoselev/tonnop-assessment-crudapi,False,False,0,0,This repository is for assessment from tonnopwallet coding interview.,https://github.com/nikitakoselev/tonnop-assessment-crudapi
ToolJet,nikitakoselev/ToolJet,False,True,1,0,"Extensible low-code framework for building business applications. Connect to databases, cloud storages, GraphQL, API endpoints, Airtable, etc and build apps using drag and drop application builder. Built using JavaScript/TypeScript. 🚀",https://github.com/nikitakoselev/ToolJet
torchsr,nikitakoselev/torchsr,False,True,0,0,An easy-to-use SRGAN-based Super Resolution tool using PyTorch,https://github.com/nikitakoselev/torchsr
transitioning-from-java-to-go-2464007,nikitakoselev/transitioning-from-java-to-go-2464007,False,True,0,0,Transitioning from Java to Go,https://github.com/nikitakoselev/transitioning-from-java-to-go-2464007
travel-guide,nikitakoselev/travel-guide,False,True,0,0,"""A travel guide to suggest activities  you can do once you arrive to a  certain destination. Or you can just  browse destinations and check  out the different available activities.""",https://github.com/nikitakoselev/travel-guide
tutorials,nikitakoselev/tutorials,False,True,0,0,"Just Announced - ""Learn Spring Security OAuth"": ",https://github.com/nikitakoselev/tutorials
twitter-api-java-sdk,nikitakoselev/twitter-api-java-sdk,False,True,0,0,A Java SDK for the Twitter API,https://github.com/nikitakoselev/twitter-api-java-sdk
two-fer,nikitakoselev/two-fer,False,False,1,0,https://exercism.org/tracks/go/exercises/two-fer,https://github.com/nikitakoselev/two-fer
TypeScript,nikitakoselev/TypeScript,False,True,0,0,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,https://github.com/nikitakoselev/TypeScript
typhon,nikitakoselev/typhon,False,True,0,0,"A wrapper around Go's net/http to provide safety and convenience. At Monzo, Typhon forms the basis of most clients and servers in our microservices platform.",https://github.com/nikitakoselev/typhon
ubuntu-make,nikitakoselev/ubuntu-make,False,True,0,0,Easy setup of common tools for developers on Ubuntu.,https://github.com/nikitakoselev/ubuntu-make
up-for-grabs.net,nikitakoselev/up-for-grabs.net,False,True,0,0,"This is a list of projects which have curated tasks specifically for new contributors. These issues are a great way to get started with a project, or to help share the load of working on open source projects. Jump in!",https://github.com/nikitakoselev/up-for-grabs.net
upskilling-java,nikitakoselev/upskilling-java,False,False,0,0,,https://github.com/nikitakoselev/upskilling-java
user-interface-samples,nikitakoselev/user-interface-samples,False,True,0,0,Multiple samples showing the best practices in the user interface on Android.,https://github.com/nikitakoselev/user-interface-samples
vanus,nikitakoselev/vanus,False,True,1,0,"Vanus is an open-source, cloud-native, Serverless message queue for building EDA applications with Ease.",https://github.com/nikitakoselev/vanus
vanus-connect,nikitakoselev/vanus-connect,False,True,1,0,Vance is a  Kubernetes-based platform which manages a variety of out-of-box connectors.,https://github.com/nikitakoselev/vanus-connect
vim_commands_and_keys,nikitakoselev/vim_commands_and_keys,False,True,1,0,Just the most commands and keys for vim,https://github.com/nikitakoselev/vim_commands_and_keys
virtual-tech-school,nikitakoselev/virtual-tech-school,False,True,1,0,Coming Soon!,https://github.com/nikitakoselev/virtual-tech-school
vscode,nikitakoselev/vscode,False,True,0,0,Visual Studio Code,https://github.com/nikitakoselev/vscode
wails,nikitakoselev/wails,False,True,0,0,Create beautiful applications using Go,https://github.com/nikitakoselev/wails
waltz,nikitakoselev/waltz,False,True,0,0,Enterprise Information Service,https://github.com/nikitakoselev/waltz
webinar-code-examples,nikitakoselev/webinar-code-examples,False,True,0,0,,https://github.com/nikitakoselev/webinar-code-examples
website-honestly,nikitakoselev/website-honestly,False,True,0,0,🦄 The Red Badger website. Honestly.,https://github.com/nikitakoselev/website-honestly
wildfly,nikitakoselev/wildfly,False,True,1,0,WildFly Application Server,https://github.com/nikitakoselev/wildfly
WomenWhoCode,nikitakoselev/WomenWhoCode,False,True,0,0,Bring the WWCode experience mobile. ,https://github.com/nikitakoselev/WomenWhoCode
workbenchscripts,nikitakoselev/workbenchscripts,False,True,0,0,Scripts for Mysql Workbench,https://github.com/nikitakoselev/workbenchscripts
wtfpython,nikitakoselev/wtfpython,False,True,0,0,What the f*ck Python? 😱,https://github.com/nikitakoselev/wtfpython
www-project-api-security,nikitakoselev/www-project-api-security,False,True,1,0,OWASP Foundation Web Respository,https://github.com/nikitakoselev/www-project-api-security
xstream,nikitakoselev/xstream,False,True,0,0,Serialize Java objects to XML and back again.,https://github.com/nikitakoselev/xstream
ytb_tree_js,nikitakoselev/ytb_tree_js,False,True,0,0,https://youtu.be/3QhmRhjOQXI,https://github.com/nikitakoselev/ytb_tree_js
zenith,nikitakoselev/zenith,False,True,1,0,Create a space where expertise can be identified and implemented to help the fintech ecosystem understand and adopt new technologies through the exploration and creation of common understanding.,https://github.com/nikitakoselev/zenith
