name,full_name,private,fork,stargazers_count,forks_count,description,html_url
interview-accountapi-1,nikitakoselev/interview-accountapi-1,False,True,0,0,Form3 Account API Take Home Exercise,https://github.com/nikitakoselev/interview-accountapi-1
Intrapreneur-Undercover,nikitakoselev/Intrapreneur-Undercover,False,False,0,0,Undercover Intrapreneur's survival guide,https://github.com/nikitakoselev/Intrapreneur-Undercover
isogram,nikitakoselev/isogram,False,False,1,0,https://exercism.org/tracks/go/exercises/isogram,https://github.com/nikitakoselev/isogram
Java,nikitakoselev/Java,False,True,0,0,All Algorithms implemented in Java,https://github.com/nikitakoselev/Java
java-9-studies,nikitakoselev/java-9-studies,False,False,0,0,Java 9 features,https://github.com/nikitakoselev/java-9-studies
java-client,nikitakoselev/java-client,False,True,0,0,"Java language binding for writing Appium Tests, conforms to Mobile JSON Wire & W3C Webdriver Protocol",https://github.com/nikitakoselev/java-client
java-design-patterns,nikitakoselev/java-design-patterns,False,True,0,0,Design patterns implemented in Java,https://github.com/nikitakoselev/java-design-patterns
java-developer-roadmap,nikitakoselev/java-developer-roadmap,False,True,0,0,Roadmap to becoming a Java developer in 2021,https://github.com/nikitakoselev/java-developer-roadmap
JavaHiddenGems,nikitakoselev/JavaHiddenGems,False,True,1,0,,https://github.com/nikitakoselev/JavaHiddenGems
javascript-datastructures-algorithms,nikitakoselev/javascript-datastructures-algorithms,False,True,0,0,:books: collection of JavaScript and TypeScript data structures and algorithms for education purposes. Source code bundle of JavaScript algorithms and data structures book,https://github.com/nikitakoselev/javascript-datastructures-algorithms
jax-cicd,nikitakoselev/jax-cicd,False,False,0,0,JAXLondon2019,https://github.com/nikitakoselev/jax-cicd
jaxlondon,nikitakoselev/jaxlondon,False,True,0,0,,https://github.com/nikitakoselev/jaxlondon
jdk,nikitakoselev/jdk,False,True,0,0,JDK main-line development,https://github.com/nikitakoselev/jdk
jenkins,nikitakoselev/jenkins,False,True,0,0,Jenkins automation server,https://github.com/nikitakoselev/jenkins
jenkins.io,nikitakoselev/jenkins.io,False,True,0,0,A static site for the Jenkins automation server,https://github.com/nikitakoselev/jenkins.io
jetbrains_java_beginner,nikitakoselev/jetbrains_java_beginner,False,False,0,0,,https://github.com/nikitakoselev/jetbrains_java_beginner
jkosha.github.io,nikitakoselev/jkosha.github.io,False,False,0,0,Goju Ryu related notes,https://github.com/nikitakoselev/jkosha.github.io
junit5-samples,nikitakoselev/junit5-samples,False,True,0,0,Collection of sample applications using JUnit 5.,https://github.com/nikitakoselev/junit5-samples
kafka,nikitakoselev/kafka,False,True,0,0,Mirror of Apache Kafka,https://github.com/nikitakoselev/kafka
kics,nikitakoselev/kics,False,True,0,0,"Find security vulnerabilities, compliance issues, and infrastructure misconfigurations early in the development cycle of your infrastructure-as-code with KICS by Checkmarx.",https://github.com/nikitakoselev/kics
klink.github.io,nikitakoselev/klink.github.io,False,True,0,0,Personal Portfolio Website,https://github.com/nikitakoselev/klink.github.io
klite,nikitakoselev/klite,False,True,0,0,Kotlin async http server framework with coroutines and zero deps,https://github.com/nikitakoselev/klite
kong,nikitakoselev/kong,False,True,0,0,🦍 The Cloud-Native API Gateway ,https://github.com/nikitakoselev/kong
kotlin-studies,nikitakoselev/kotlin-studies,False,False,0,0,,https://github.com/nikitakoselev/kotlin-studies
kubernetes,nikitakoselev/kubernetes,False,True,0,0,Production-Grade Container Scheduling and Management,https://github.com/nikitakoselev/kubernetes
kubernetes-the-hard-way,nikitakoselev/kubernetes-the-hard-way,False,True,0,0,Bootstrap Kubernetes the hard way on Vagrant on Local Machine. No scripts.,https://github.com/nikitakoselev/kubernetes-the-hard-way
landscape,nikitakoselev/landscape,False,True,0,0,"🌄The Cloud Native Interactive Landscape filters and sorts hundreds of projects and products, and shows details including GitHub stars, funding or market cap, first and last commits, contributor counts, headquarters location, and recent tweets.",https://github.com/nikitakoselev/landscape
leafygreen-ui,nikitakoselev/leafygreen-ui,False,True,0,0,LeafyGreen UI – LeafyGreen's React UI Kit,https://github.com/nikitakoselev/leafygreen-ui
learn-go-with-tests,nikitakoselev/learn-go-with-tests,False,True,1,0,Learn Go with test-driven development,https://github.com/nikitakoselev/learn-go-with-tests
learn-to-cloud,nikitakoselev/learn-to-cloud,False,True,0,0,Learn the fundamentals of cloud computing,https://github.com/nikitakoselev/learn-to-cloud
leetcode-python-solutions,nikitakoselev/leetcode-python-solutions,False,True,0,0,All Python solutions for Leetcode,https://github.com/nikitakoselev/leetcode-python-solutions
LinkFree,nikitakoselev/LinkFree,False,True,0,0,"Connect to your audience with a single link. Showcase the content you create and your projects in one place. Make it easier for people to find, follow and subscribe.",https://github.com/nikitakoselev/LinkFree
LinuxTimeline,nikitakoselev/LinuxTimeline,False,True,0,0,Linux Distributions Timeline,https://github.com/nikitakoselev/LinuxTimeline
llama,nikitakoselev/llama,False,True,0,0,Inference code for LLaMA models,https://github.com/nikitakoselev/llama
llvm-project,nikitakoselev/llvm-project,False,True,0,0,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.  This fork is used to manage Apple’s stable releases of Clang as well as support the Swift project.,https://github.com/nikitakoselev/llvm-project
logs-logs-logs,nikitakoselev/logs-logs-logs,False,False,1,0,https://exercism.org/tracks/go/exercises/logs-logs-logs,https://github.com/nikitakoselev/logs-logs-logs
lucians-luscious-lasagna,nikitakoselev/lucians-luscious-lasagna,False,False,1,0,https://exercism.org/tracks/rust/exercises/lucians-luscious-lasagna,https://github.com/nikitakoselev/lucians-luscious-lasagna
lusid-sdk-java,nikitakoselev/lusid-sdk-java,False,True,0,0,"Java SDK for LUSID by FINBOURNE, a bi-temporal investment management data platform with portfolio accounting capabilities.",https://github.com/nikitakoselev/lusid-sdk-java
lusid-sdk-java-preview,nikitakoselev/lusid-sdk-java-preview,False,True,0,0,"Java Preview SDK for LUSID by FINBOURNE, a bi-temporal investment management data platform with portfolio accounting capabilities.",https://github.com/nikitakoselev/lusid-sdk-java-preview
mac-dev-playbook,nikitakoselev/mac-dev-playbook,False,True,0,0,Mac setup and configuration via Ansible.,https://github.com/nikitakoselev/mac-dev-playbook
maven,nikitakoselev/maven,False,True,0,0,Apache Maven core,https://github.com/nikitakoselev/maven
merico-dev-build,nikitakoselev/merico-dev-build,False,True,0,0,"Merico Build is a web app empowering open source developers, maintainers, and communities with metrics from Git, GitHub, and more.",https://github.com/nikitakoselev/merico-dev-build
Meridio,nikitakoselev/Meridio,False,True,0,0,Facilitator of attraction and distribution of external traffic within Kubernetes via secondary networks,https://github.com/nikitakoselev/Meridio
mermaid,nikitakoselev/mermaid,False,True,1,0,Generation of diagram and flowchart from text in a similar manner as markdown,https://github.com/nikitakoselev/mermaid
metasearch,nikitakoselev/metasearch,False,True,0,0,"Search aggregator for Slack, Google Docs, GitHub, and more :mag:",https://github.com/nikitakoselev/metasearch
meteorology,nikitakoselev/meteorology,False,False,1,0,https://exercism.org/tracks/go/exercises/meteorology,https://github.com/nikitakoselev/meteorology
metrohacks-hackathon,nikitakoselev/metrohacks-hackathon,False,True,0,0,,https://github.com/nikitakoselev/metrohacks-hackathon
mfti-html-css,nikitakoselev/mfti-html-css,False,False,1,0,,https://github.com/nikitakoselev/mfti-html-css
mfti-html-css-2,nikitakoselev/mfti-html-css-2,False,False,0,0,,https://github.com/nikitakoselev/mfti-html-css-2
mitmproxy2swagger,nikitakoselev/mitmproxy2swagger,False,True,1,0,Automagically reverse-engineer REST APIs via capturing traffic,https://github.com/nikitakoselev/mitmproxy2swagger
mockito,nikitakoselev/mockito,False,True,0,0,Most popular Mocking framework for unit tests written in Java,https://github.com/nikitakoselev/mockito
mongo,nikitakoselev/mongo,False,True,0,0,The MongoDB Database,https://github.com/nikitakoselev/mongo
MSG,nikitakoselev/MSG,True,False,0,0,MicroService Generator,https://github.com/nikitakoselev/MSG
mtfi_javascript_01,nikitakoselev/mtfi_javascript_01,False,False,1,0,,https://github.com/nikitakoselev/mtfi_javascript_01
MultiTask-GNN,nikitakoselev/MultiTask-GNN,False,True,0,0,Github repository for the Multitask-GNN paper,https://github.com/nikitakoselev/MultiTask-GNN
need-for-speed,nikitakoselev/need-for-speed,False,False,1,0,"need-for-speed, based on exersicm.io's https://exercism.org/tracks/go/exercises/need-for-speed",https://github.com/nikitakoselev/need-for-speed
neo4j-energy-calculator,nikitakoselev/neo4j-energy-calculator,True,False,0,0,,https://github.com/nikitakoselev/neo4j-energy-calculator
nft-gallery,nikitakoselev/nft-gallery,False,True,0,0,NFT Explorer 🗺 🧭  running on Kusama and Polkadot ,https://github.com/nikitakoselev/nft-gallery
nikitakoselev.github.com,nikitakoselev/nikitakoselev.github.com,False,False,0,0,"My personal website to share my experience in Open Source, DevRel and Software Engineering",https://github.com/nikitakoselev/nikitakoselev.github.com
node,nikitakoselev/node,False,True,0,0,Node.js JavaScript runtime :sparkles::turtle::rocket::sparkles:,https://github.com/nikitakoselev/node
nvm-windows,nikitakoselev/nvm-windows,False,True,0,0,A node.js version management utility for Windows. Ironically written in Go.,https://github.com/nikitakoselev/nvm-windows
okta-spring-boot-react-crud-example,nikitakoselev/okta-spring-boot-react-crud-example,False,True,0,0,Simple CRUD with React and Spring Boot 2.0,https://github.com/nikitakoselev/okta-spring-boot-react-crud-example
open-regtech-sig,nikitakoselev/open-regtech-sig,False,True,0,0,The FINOS Regulation Innovation Special Interest Group (SIG) is a community of people interested in creating open source solutions for regulatory and compliance issues in financial services.,https://github.com/nikitakoselev/open-regtech-sig
open-source-events,nikitakoselev/open-source-events,False,True,0,0,A list of Open Source conferences or events to look out for.,https://github.com/nikitakoselev/open-source-events
openbanking-client,nikitakoselev/openbanking-client,False,True,0,0,Java client for using the UK Open Banking API ,https://github.com/nikitakoselev/openbanking-client
openbox,nikitakoselev/openbox,False,True,0,0,Openbox Window Manager (OpenboxWM),https://github.com/nikitakoselev/openbox
openmct,nikitakoselev/openmct,False,True,0,0,A web based mission control framework. ,https://github.com/nikitakoselev/openmct
opentelemetry-collector-contrib,nikitakoselev/opentelemetry-collector-contrib,False,True,0,0,Contrib repository for the OpenTelemetry Collector,https://github.com/nikitakoselev/opentelemetry-collector-contrib
oreilly-gradle-book-examples,nikitakoselev/oreilly-gradle-book-examples,False,True,0,0,,https://github.com/nikitakoselev/oreilly-gradle-book-examples
origin,nikitakoselev/origin,False,True,0,0,Conformance test suite for OpenShift,https://github.com/nikitakoselev/origin
OSFU,nikitakoselev/OSFU,False,False,3,0,dummy description,https://github.com/nikitakoselev/OSFU
OSSClass,nikitakoselev/OSSClass,False,True,0,0,An Open Open source class,https://github.com/nikitakoselev/OSSClass
overleaf,nikitakoselev/overleaf,False,True,0,0,A web-based collaborative LaTeX editor,https://github.com/nikitakoselev/overleaf
paragon,nikitakoselev/paragon,False,True,0,0,"💎 An accessible, theme-ready design system built for learning applications and Open edX.",https://github.com/nikitakoselev/paragon
parsing-log-files,nikitakoselev/parsing-log-files,False,False,2,0,https://exercism.org/tracks/go/exercises/parsing-log-files,https://github.com/nikitakoselev/parsing-log-files
pathway-examples,nikitakoselev/pathway-examples,False,True,0,0,Code examples for the Pathway.com programming framework,https://github.com/nikitakoselev/pathway-examples
petclient-apitest,nikitakoselev/petclient-apitest,False,False,0,0,,https://github.com/nikitakoselev/petclient-apitest
petclient-apitest-2,nikitakoselev/petclient-apitest-2,False,False,0,0,,https://github.com/nikitakoselev/petclient-apitest-2
pipeline-plugin,nikitakoselev/pipeline-plugin,False,True,0,0,Jenkins Pipeline plugin,https://github.com/nikitakoselev/pipeline-plugin
playwright-java,nikitakoselev/playwright-java,False,True,0,0,Java version of the Playwright testing and automation library,https://github.com/nikitakoselev/playwright-java
please,nikitakoselev/please,False,True,0,0,High-performance extensible build system for reproducible multi-language builds.,https://github.com/nikitakoselev/please
pluralsight-typescript,nikitakoselev/pluralsight-typescript,False,False,0,0,,https://github.com/nikitakoselev/pluralsight-typescript
pockets-cli,nikitakoselev/pockets-cli,False,True,0,0,D&D Inventory tracking CLI,https://github.com/nikitakoselev/pockets-cli
polkadot,nikitakoselev/polkadot,False,True,0,0,,https://github.com/nikitakoselev/polkadot
postage-refactoring-kata,nikitakoselev/postage-refactoring-kata,False,True,0,0,"A collection of code samples for demonstrating and practising executing complex refactoring in simple, safe steps",https://github.com/nikitakoselev/postage-refactoring-kata
postman-docs,nikitakoselev/postman-docs,False,True,0,0,"Documentation for Postman, a collaboration platform for API development. Available for Mac, Windows, and Linux.",https://github.com/nikitakoselev/postman-docs
pre-commit-hooks,nikitakoselev/pre-commit-hooks,False,True,1,0,Standardizing our code quality tooling :hammer_and_wrench:,https://github.com/nikitakoselev/pre-commit-hooks
preload-local-actions,nikitakoselev/preload-local-actions,False,True,0,0,Open source GitHub action to load 1 or more private/internal action repos,https://github.com/nikitakoselev/preload-local-actions
primefaces,nikitakoselev/primefaces,False,True,1,0,Ultimate Component Suite for JavaServer Faces,https://github.com/nikitakoselev/primefaces
prodfiler-documentation,nikitakoselev/prodfiler-documentation,False,True,1,0,"Documentation for Prodfiler, the distributed lightweight continuous whole-system profiler",https://github.com/nikitakoselev/prodfiler-documentation
pulldozer,nikitakoselev/pulldozer,False,True,1,0,CLI tool for batch editing multiple repos :tractor:,https://github.com/nikitakoselev/pulldozer
py,nikitakoselev/py,False,True,0,0,Repository to store sample python programs for python learning,https://github.com/nikitakoselev/py
pytorch,nikitakoselev/pytorch,False,True,0,0,Tensors and Dynamic neural networks in Python with strong GPU acceleration,https://github.com/nikitakoselev/pytorch
qdrant,nikitakoselev/qdrant,False,True,0,0,Qdrant - Vector Database for the next generation of AI applications. Also available in the cloud https://cloud.qdrant.io/,https://github.com/nikitakoselev/qdrant
quickwit,nikitakoselev/quickwit,False,True,0,0,Cloud-native search engine for log management & analytics,https://github.com/nikitakoselev/quickwit
raindrops,nikitakoselev/raindrops,False,False,1,0,"Initial submit, with all the tests working",https://github.com/nikitakoselev/raindrops
react,nikitakoselev/react,False,True,0,0,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",https://github.com/nikitakoselev/react
react-helmet,nikitakoselev/react-helmet,False,True,0,0,A document head manager for React,https://github.com/nikitakoselev/react-helmet
react-native,nikitakoselev/react-native,False,True,1,0,A framework for building native applications using React,https://github.com/nikitakoselev/react-native
react-native-intercom,nikitakoselev/react-native-intercom,False,True,0,0,React Native wrapper for Intercom.io,https://github.com/nikitakoselev/react-native-intercom
refact,nikitakoselev/refact,False,True,0,0,"🤖 Refact AI: Open-Source Coding Assistant with Fine-Tuning on codebase, autocompletion, code refactoring, code analysis, integrated chat and more!  ",https://github.com/nikitakoselev/refact
RefactorFirst,nikitakoselev/RefactorFirst,False,True,0,0,Tool for Java codebases that will help you identify the God Classes you should refactor first.,https://github.com/nikitakoselev/RefactorFirst
release,nikitakoselev/release,False,True,0,0,Release tooling for OpenShift,https://github.com/nikitakoselev/release
resources,nikitakoselev/resources,False,True,0,0,♻ Resources for Devs,https://github.com/nikitakoselev/resources
retail-demo-store,nikitakoselev/retail-demo-store,False,True,0,0,"AWS Retail Demo Store is a sample retail web application and workshop platform demonstrating how AWS infrastructure and services can be used to build compelling customer experiences for eCommerce, retail, and digital marketing use-cases",https://github.com/nikitakoselev/retail-demo-store
reveal.js,nikitakoselev/reveal.js,False,True,0,0,The HTML Presentation Framework,https://github.com/nikitakoselev/reveal.js
saddle-points,nikitakoselev/saddle-points,False,False,0,0,exercism.io exercise,https://github.com/nikitakoselev/saddle-points
scio,nikitakoselev/scio,False,True,0,0,A Scala API for Apache Beam and Google Cloud Dataflow.,https://github.com/nikitakoselev/scio
scrabble-score,nikitakoselev/scrabble-score,False,False,1,0,https://exercism.org/tracks/go/exercises/scrabble-score,https://github.com/nikitakoselev/scrabble-score
secure-code-game,nikitakoselev/secure-code-game,False,True,0,0,"A GitHub Security Lab initiative, providing an in-repo learning experience, where learners secure intentionally vulnerable code.",https://github.com/nikitakoselev/secure-code-game
selenide,nikitakoselev/selenide,False,True,1,0,Concise UI Tests with Java!,https://github.com/nikitakoselev/selenide
